category,name,price,description,veg_nonveg,spice_level,restaurant name,location,contact,operating hour,dining rating,delivery rating,dish type,tag
Cheese Burst - 3 New Flavours,Mexican Green Wave Cheese Burst,₹348,"Now in 3 New Flavours - Molten Cheese Indulgence with Mexican herbs sprinkled on onion, capsicum, tomato & jalapeno",Veg,Normal,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",911332275420,10:00 AM - 11:00 PM,3.7,3.8,expensive,"Cheese Burst - 3 New Flavours | Mexican Green Wave Cheese Burst | ₹348 | Now in 3 New Flavours - Molten Cheese Indulgence with Mexican herbs sprinkled on onion, capsicum, tomato & jalapeno | Veg | Normal | Domino's Pizza | Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee | 911332275420 | 10:00 AM - 11:00 PM | 3.7 | 3.8 | 348 | expensive"
Cheese Burst - 3 New Flavours,Pepper Barbecue Chicken Cheese Burst,₹338,Now in 3 New Flavours - Molten Cheese Indulgence with Pepper Barbecue chicken for that extra zing,Non-Veg,Normal,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",911332275420,10:00 AM - 11:00 PM,3.7,3.8,expensive,"Cheese Burst - 3 New Flavours | Pepper Barbecue Chicken Cheese Burst | ₹338 | Now in 3 New Flavours - Molten Cheese Indulgence with Pepper Barbecue chicken for that extra zing | Non-Veg | Normal | Domino's Pizza | Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee | 911332275420 | 10:00 AM - 11:00 PM | 3.7 | 3.8 | 338 | expensive"
Cheese Burst - 3 New Flavours,Indi Tandoori Paneer Cheese Burst,₹398,"Now in 3 New Flavours - Molten Cheese Indulgence with spicy tandoori paneer, capsicum, red paprika & mint mayo",Veg,Spicy,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",911332275420,10:00 AM - 11:00 PM,3.7,3.8,expensive,"Cheese Burst - 3 New Flavours | Indi Tandoori Paneer Cheese Burst | ₹398 | Now in 3 New Flavours - Molten Cheese Indulgence with spicy tandoori paneer, capsicum, red paprika & mint mayo | Veg | Spicy | Domino's Pizza | Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee | 911332275420 | 10:00 AM - 11:00 PM | 3.7 | 3.8 | 398 | expensive"
Cheese Burst - 3 New Flavours,Indi Chicken Tikka Cheese Burst,₹448,"Now in 3 New Flavours - Molten Cheese Indulgence with wholesome flavour of tandoori masala topped with Chicken tikka, onion, red paprika & mint mayo",Non-Veg,Normal,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",911332275420,10:00 AM - 11:00 PM,3.7,3.8,expensive,"Cheese Burst - 3 New Flavours | Indi Chicken Tikka Cheese Burst | ₹448 | Now in 3 New Flavours - Molten Cheese Indulgence with wholesome flavour of tandoori masala topped with Chicken tikka, onion, red paprika & mint mayo | Non-Veg | Normal | Domino's Pizza | Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee | 911332275420 | 10:00 AM - 11:00 PM | 3.7 | 3.8 | 448 | expensive"
Cheese Burst - 3 New Flavours,Double Cheese Margherita Cheese Burst,₹298,Now in 3 New Flavours - Molten Cheese Indulgence with loaded delight of 100% real mozzarella cheese,Veg,Normal,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",911332275420,10:00 AM - 11:00 PM,3.7,3.8,expensive,"Cheese Burst - 3 New Flavours | Double Cheese Margherita Cheese Burst | ₹298 | Now in 3 New Flavours - Molten Cheese Indulgence with loaded delight of 100% real mozzarella cheese | Veg | Normal | Domino's Pizza | Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee | 911332275420 | 10:00 AM - 11:00 PM | 3.7 | 3.8 | 298 | expensive"
Cheese Burst - 3 New Flavours,Cheese n Corn Cheese Burst,₹298,Molten Cheese Indulgence with a delectable combination of sweet & juicy golden corn,Veg,Normal,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",911332275420,10:00 AM - 11:00 PM,3.7,3.8,expensive,"Cheese Burst - 3 New Flavours | Cheese n Corn Cheese Burst | ₹298 | Molten Cheese Indulgence with a delectable combination of sweet & juicy golden corn | Veg | Normal | Domino's Pizza | Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee | 911332275420 | 10:00 AM - 11:00 PM | 3.7 | 3.8 | 298 | expensive"
Cheese Burst - 3 New Flavours,Chicken Golden Delight Cheese Burst,₹398,"Now in 3 New Flavours - Molten Cheese Indulgence with Double pepper Barbecue chicken, golden corn and extra cheese",Non-Veg,Normal,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",911332275420,10:00 AM - 11:00 PM,3.7,3.8,expensive,"Cheese Burst - 3 New Flavours | Chicken Golden Delight Cheese Burst | ₹398 | Now in 3 New Flavours - Molten Cheese Indulgence with Double pepper Barbecue chicken, golden corn and extra cheese | Non-Veg | Normal | Domino's Pizza | Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee | 911332275420 | 10:00 AM - 11:00 PM | 3.7 | 3.8 | 398 | expensive"
Cheese Burst - 3 New Flavours,Chicken Fiesta Cheese Burst,₹398,"Now in 3 New Flavours - Molten Cheese Indulgence with Grilled chicken rashers, peri-peri chicken, onion & capsicum",Non-Veg,Normal,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",911332275420,10:00 AM - 11:00 PM,3.7,3.8,expensive,"Cheese Burst - 3 New Flavours | Chicken Fiesta Cheese Burst | ₹398 | Now in 3 New Flavours - Molten Cheese Indulgence with Grilled chicken rashers, peri-peri chicken, onion & capsicum | Non-Veg | Normal | Domino's Pizza | Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee | 911332275420 | 10:00 AM - 11:00 PM | 3.7 | 3.8 | 398 | expensive"
Cheese Burst - 3 New Flavours,Fresh Veggie Cheese Burst,₹298,Now in 3 New Flavours - Molten Cheese Indulgence with combination of onion & capsicum,Veg,Normal,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",911332275420,10:00 AM - 11:00 PM,3.7,3.8,expensive,"Cheese Burst - 3 New Flavours | Fresh Veggie Cheese Burst | ₹298 | Now in 3 New Flavours - Molten Cheese Indulgence with combination of onion & capsicum | Veg | Normal | Domino's Pizza | Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee | 911332275420 | 10:00 AM - 11:00 PM | 3.7 | 3.8 | 298 | expensive"
Cheese Burst - 3 New Flavours,Chicken Pepperoni Cheese Burst,₹448,"Now in 3 New Flavours - Molten Cheese Indulgence with American classic flavored Chicken Pepperoni, topped with extra cheese",Non-Veg,Normal,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",911332275420,10:00 AM - 11:00 PM,3.7,3.8,expensive,"Cheese Burst - 3 New Flavours | Chicken Pepperoni Cheese Burst | ₹448 | Now in 3 New Flavours - Molten Cheese Indulgence with American classic flavored Chicken Pepperoni, topped with extra cheese | Non-Veg | Normal | Domino's Pizza | Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee | 911332275420 | 10:00 AM - 11:00 PM | 3.7 | 3.8 | 448 | expensive"
Cheese Burst - 3 New Flavours,Achari Do Pyaza Cheese Burst,₹268,Now in 3 New Flavours - Molten Cheese Indulgence with tangy & spicy achari flavours on a super cheesy onion pizza,Veg,Spicy,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",911332275420,10:00 AM - 11:00 PM,3.7,3.8,moderate,"Cheese Burst - 3 New Flavours | Achari Do Pyaza Cheese Burst | ₹268 | Now in 3 New Flavours - Molten Cheese Indulgence with tangy & spicy achari flavours on a super cheesy onion pizza | Veg | Spicy | Domino's Pizza | Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee | 911332275420 | 10:00 AM - 11:00 PM | 3.7 | 3.8 | 268 | moderate"
Cheese Burst - 3 New Flavours,The 5 Chicken Feast Cheese Burst,₹478,"Molten Cheese Indulgence Loaded with 5 different Chicken toppings - grilled Chicken Rashers, Chicken MeatBalls, Chicken Tikka, herby Chicken Sausage & Chicken Keema",Non-Veg,Normal,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",911332275420,10:00 AM - 11:00 PM,3.7,3.8,expensive,"Cheese Burst - 3 New Flavours | The 5 Chicken Feast Cheese Burst | ₹478 | Molten Cheese Indulgence Loaded with 5 different Chicken toppings - grilled Chicken Rashers, Chicken MeatBalls, Chicken Tikka, herby Chicken Sausage & Chicken Keema | Non-Veg | Normal | Domino's Pizza | Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee | 911332275420 | 10:00 AM - 11:00 PM | 3.7 | 3.8 | 478 | expensive"
Cheese Burst - 3 New Flavours,Chicken Sausage Cheese Burst,₹288,Now in 3 New Flavours - Molten Cheese Indulgence with American classic herbed chicken sausage,Non-Veg,Normal,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",911332275420,10:00 AM - 11:00 PM,3.7,3.8,expensive,"Cheese Burst - 3 New Flavours | Chicken Sausage Cheese Burst | ₹288 | Now in 3 New Flavours - Molten Cheese Indulgence with American classic herbed chicken sausage | Non-Veg | Normal | Domino's Pizza | Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee | 911332275420 | 10:00 AM - 11:00 PM | 3.7 | 3.8 | 288 | expensive"
Cheese Burst - 3 New Flavours,Fiery Jalapeno & Paprika Pizza,₹258,Molten Cheese Indulgence with jalapeno & red paprika toppings along with spicy peri peri sauce,Veg,Spicy,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",911332275420,10:00 AM - 11:00 PM,3.7,3.8,moderate,"Cheese Burst - 3 New Flavours | Fiery Jalapeno & Paprika Pizza | ₹258 | Molten Cheese Indulgence with jalapeno & red paprika toppings along with spicy peri peri sauce | Veg | Spicy | Domino's Pizza | Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee | 911332275420 | 10:00 AM - 11:00 PM | 3.7 | 3.8 | 258 | moderate"
Cheese Burst - 3 New Flavours,Fiery Sausage & Paprika Pizza,₹328,Molten Cheese Indulgence with spicy & herby chicken sausage and red paprika toppings along with spicy peri peri sauce,Non-Veg,Spicy,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",911332275420,10:00 AM - 11:00 PM,3.7,3.8,expensive,"Cheese Burst - 3 New Flavours | Fiery Sausage & Paprika Pizza | ₹328 | Molten Cheese Indulgence with spicy & herby chicken sausage and red paprika toppings along with spicy peri peri sauce | Non-Veg | Spicy | Domino's Pizza | Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee | 911332275420 | 10:00 AM - 11:00 PM | 3.7 | 3.8 | 328 | expensive"
Cheese Burst - 3 New Flavours,Blazing Onion & Paprika Pizza,₹258,Molten Cheese Indulgence with onion & red paprika toppings along with spicy peri peri sauce,Veg,Spicy,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",911332275420,10:00 AM - 11:00 PM,3.7,3.8,moderate,"Cheese Burst - 3 New Flavours | Blazing Onion & Paprika Pizza | ₹258 | Molten Cheese Indulgence with onion & red paprika toppings along with spicy peri peri sauce | Veg | Spicy | Domino's Pizza | Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee | 911332275420 | 10:00 AM - 11:00 PM | 3.7 | 3.8 | 258 | moderate"
Cheese Burst - 3 New Flavours,Blazing Chicken & Paprika Pizza,₹328,Molten Cheese Indulgence with a combination of chicken keema & red paprika toppings along with spicy peri peri sauce,Non-Veg,Spicy,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",911332275420,10:00 AM - 11:00 PM,3.7,3.8,expensive,"Cheese Burst - 3 New Flavours | Blazing Chicken & Paprika Pizza | ₹328 | Molten Cheese Indulgence with a combination of chicken keema & red paprika toppings along with spicy peri peri sauce | Non-Veg | Spicy | Domino's Pizza | Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee | 911332275420 | 10:00 AM - 11:00 PM | 3.7 | 3.8 | 328 | expensive"
Chicken Feast,Spicy Boneless Thighs,₹159,"Crispy, juicy boneless thighs seasoned with flavorful chili for a delicious spicy kick. Crunchy on the outside, tender on the inside!",Non-Veg,Spicy,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",911332275420,10:00 AM - 11:00 PM,3.7,3.8,cheap,"Chicken Feast | Spicy Boneless Thighs | ₹159 | Crispy, juicy boneless thighs seasoned with flavorful chili for a delicious spicy kick. Crunchy on the outside, tender on the inside! | Non-Veg | Spicy | Domino's Pizza | Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee | 911332275420 | 10:00 AM - 11:00 PM | 3.7 | 3.8 | 159 | cheap"
Chicken Feast,Mini Garlic Cheesiken Rice,₹119,"Juicy Chicken| Creamy Garlic Sauce| Molten Cheese with Rice & Veggies - Onion, Jalapeno & Capsicum",Non-Veg,Normal,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",911332275420,10:00 AM - 11:00 PM,3.7,3.8,cheap,"Chicken Feast | Mini Garlic Cheesiken Rice | ₹119 | Juicy Chicken| Creamy Garlic Sauce| Molten Cheese with Rice & Veggies - Onion, Jalapeno & Capsicum | Non-Veg | Normal | Domino's Pizza | Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee | 911332275420 | 10:00 AM - 11:00 PM | 3.7 | 3.8 | 119 | cheap"
Chicken Feast,Mini Tangy Tomato Cheesiken Rice,₹119,"Tender Chicken| Zesty Tomato Sauce| Molten Cheese with Rice & Veggies - Onion, Paprika & Capsicum",Non-Veg,Normal,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",911332275420,10:00 AM - 11:00 PM,3.7,3.8,cheap,"Chicken Feast | Mini Tangy Tomato Cheesiken Rice | ₹119 | Tender Chicken| Zesty Tomato Sauce| Molten Cheese with Rice & Veggies - Onion, Paprika & Capsicum | Non-Veg | Normal | Domino's Pizza | Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee | 911332275420 | 10:00 AM - 11:00 PM | 3.7 | 3.8 | 119 | cheap"
